date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,score1_digit,score2_digit,result1
9/10/15,2015,0,0,NE,PIT,1663.864,1562.771,0.722341919,28,21,8,1,1
9/13/15,2015,0,0,NYJ,CLE,1440.153,1421.821,0.617676454,31,10,1,0,1
9/13/15,2015,0,0,LAR,SEA,1476.945,1677.552,0.314187001,34,31,4,1,1
9/13/15,2015,0,0,JAX,CAR,1356.572,1535.596,0.341554408,9,20,9,0,0
9/13/15,2015,0,0,CHI,GB,1419.227,1601.039,0.337954296,23,31,3,1,0
9/13/15,2015,0,0,WSH,MIA,1371.453,1483.514,0.432684959,10,17,0,7,0
9/13/15,2015,0,0,HOU,KC,1504.621,1539.663,0.543006497,20,27,0,7,0
9/13/15,2015,0,0,BUF,IND,1534.055,1581.097,0.52582065,27,14,7,4,1
9/13/15,2015,0,0,LAC,DET,1522.523,1538.267,0.570413968,33,28,3,8,1
9/13/15,2015,0,0,ARI,NO,1540.563,1486.37,0.665105488,31,19,1,9,1
9/13/15,2015,0,0,OAK,CIN,1388.519,1539.936,0.378138648,13,33,3,3,0
9/13/15,2015,0,0,TB,TEN,1376.729,1339.314,0.643261459,14,42,4,2,0
9/13/15,2015,0,0,DEN,BAL,1595.327,1577.08,0.617560898,19,13,9,3,1
9/13/15,2015,0,0,DAL,NYG,1589.936,1479.528,0.732967231,27,26,7,6,1
9/14/15,2015,0,0,ATL,PHI,1462.019,1544.655,0.474641532,26,24,6,4,1
9/14/15,2015,0,0,SF,MIN,1528.565,1479.237,0.658839041,20,3,0,3,1
9/17/15,2015,0,0,KC,DEN,1562.55777,1609.668179,0.525722462,24,31,4,1,0
9/20/15,2015,0,0,NYG,ATL,1476.099497,1473.655589,0.595858546,20,24,0,4,0
9/20/15,2015,0,0,CAR,HOU,1551.734189,1481.72623,0.685069493,24,17,4,7,1
9/20/15,2015,0,0,BUF,NE,1558.880089,1674.600875,0.427521081,32,40,2,0,0
9/20/15,2015,0,0,PIT,SF,1552.034125,1547.312389,0.599012106,43,18,3,8,1
9/20/15,2015,0,0,MIN,DET,1460.489611,1523.20982,0.503280836,26,16,6,6,1
9/20/15,2015,0,0,CHI,ARI,1405.124559,1556.85981,0.377707949,23,48,3,8,0
9/20/15,2015,0,0,NO,TB,1470.07319,1331.292809,0.763696627,19,26,9,6,0
9/20/15,2015,0,0,WSH,LAR,1353.835011,1497.208827,0.389085964,24,10,4,0,1
9/20/15,2015,0,0,CIN,LAC,1562.090782,1537.58018,0.62603977,24,19,4,9,1
9/20/15,2015,0,0,CLE,TEN,1399.048032,1384.750191,0.612177633,28,14,8,4,1
9/20/15,2015,0,0,OAK,BAL,1366.364218,1562.738821,0.319460331,37,33,7,3,1
9/20/15,2015,0,0,JAX,MIA,1340.433811,1501.131989,0.365659572,23,20,3,0,1
9/20/15,2015,0,0,PHI,DAL,1533.018411,1593.364503,0.506697113,10,20,0,0,0
9/20/15,2015,0,0,GB,SEA,1615.141441,1657.288173,0.532841147,27,17,7,7,1
9/21/15,2015,0,0,IND,NYJ,1556.271911,1462.925968,0.713309571,7,20,7,0,0
9/24/15,2015,0,0,NYG,WSH,1456.312969,1388.145004,0.682779841,32,21,2,1,1
9/27/15,2015,0,0,MIN,LAC,1484.286561,1524.703167,0.535319426,31,14,1,4,1
9/27/15,2015,0,0,TEN,IND,1364.47611,1515.702622,0.378396534,33,35,3,5,0
9/27/15,2015,0,0,DAL,ATL,1617.716149,1493.442117,0.748296768,28,39,8,9,0
9/27/15,2015,0,0,NE,JAX,1692.964696,1358.821303,0.908682563,51,17,1,7,1
9/27/15,2015,0,0,NYJ,PHI,1503.495257,1508.666765,0.585259055,17,24,7,4,0
9/27/15,2015,0,0,CAR,NO,1564.07449,1435.069652,0.753391253,27,22,7,2,1
9/27/15,2015,0,0,LAR,PIT,1462.898834,1577.36063,0.429295766,6,12,6,2,0
9/27/15,2015,0,0,BAL,CIN,1539.441902,1574.967795,0.542315188,24,28,4,8,0
9/27/15,2015,0,0,HOU,TB,1469.385929,1366.296348,0.72464115,19,9,9,9,1
9/27/15,2015,0,0,CLE,OAK,1419.322113,1389.661137,0.63295442,20,27,0,7,0
9/27/15,2015,0,0,ARI,SF,1580.538456,1521.985884,0.670671955,47,7,7,7,1
9/27/15,2015,0,0,MIA,BUF,1482.744497,1540.516269,0.510400756,14,41,4,1,0
9/27/15,2015,0,0,SEA,CHI,1635.114549,1381.445913,0.862285549,26,0,6,0,1
