Team,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
New England Patriots,13,3,0.813,458,296,162,10.1,-1.2,8.9,6.3,2.6
Buffalo Bills,9,7,0.563,302,359,-57,-3.6,-0.5,-4,-3,-1
Miami Dolphins,6,10,0.375,281,393,-112,-7,0.7,-6.3,-3.9,-2.4
New York Jets,5,11,0.313,298,382,-84,-5.3,0.3,-4.9,-2.9,-2.1
Pittsburgh Steelers,13,3,0.813,406,308,98,6.1,-1.1,5,3.2,1.8
Baltimore Ravens,9,7,0.563,395,303,92,5.8,-2.4,3.4,2.2,1.2
Cincinnati Bengals,7,9,0.438,290,349,-59,-3.7,-1.3,-5,-4.1,-0.9
Cleveland Browns,0,16,0,234,410,-176,-11,0,-11,-6.8,-4.1
Jacksonville Jaguars,10,6,0.625,417,268,149,9.3,-2.8,6.5,3,3.6
Tennessee Titans,9,7,0.563,334,356,-22,-1.4,-2.1,-3.5,-2,-1.5
Houston Texans,4,12,0.25,338,436,-98,-6.1,-0.3,-6.4,-0.8,-5.6
Indianapolis Colts,4,12,0.25,263,404,-141,-8.8,-1.3,-10.1,-6.1,-4
Kansas City Chiefs,10,6,0.625,415,339,76,4.8,-1.3,3.4,3.8,-0.3
Los Angeles Chargers,9,7,0.563,355,272,83,5.2,-1.5,3.6,-0.3,4
Oakland Raiders,6,10,0.375,301,373,-72,-4.5,-0.2,-4.7,-3,-1.8
Denver Broncos,5,11,0.313,289,382,-93,-5.8,-0.9,-6.7,-3.9,-2.9
Philadelphia Eagles,13,3,0.813,457,295,162,10.1,-0.7,9.4,7,2.5
Dallas Cowboys,9,7,0.563,354,332,22,1.4,0.2,1.6,0.4,1.2
Washington Redskins,7,9,0.438,342,388,-46,-2.9,1.6,-1.3,0.5,-1.8
New York Giants,3,13,0.188,246,388,-142,-8.9,1.3,-7.6,-6.4,-1.2
Minnesota Vikings,13,3,0.813,382,252,130,8.1,1,9.1,2.3,6.8
Detroit Lions,9,7,0.563,410,376,34,2.1,0.6,2.7,5.2,-2.5
Green Bay Packers,7,9,0.438,320,384,-64,-4,2.1,-1.9,-0.3,-1.6
Chicago Bears,5,11,0.313,264,320,-56,-3.5,2.2,-1.3,-4.6,3.3
New Orleans Saints,11,5,0.688,448,326,122,7.6,1.5,9.2,7,2.2
Carolina Panthers,11,5,0.688,363,327,36,2.3,2.1,4.3,1.7,2.7
Atlanta Falcons,10,6,0.625,353,315,38,2.4,1.9,4.3,1.1,3.2
Tampa Bay Buccaneers,5,11,0.313,335,382,-47,-2.9,1.7,-1.3,0.4,-1.7
Los Angeles Rams,11,5,0.688,478,329,149,9.3,-0.2,9.2,8.2,1
Seattle Seahawks,9,7,0.563,366,332,34,2.1,-0.2,1.9,0.7,1.2
Arizona Cardinals,8,8,0.5,295,361,-66,-4.1,0.4,-3.7,-4,0.2
San Francisco 49ers,6,10,0.375,331,383,-52,-3.3,0.4,-2.9,-0.8,-2.1
