"","Team","2014","2015","2016","2017","w2015","w2016","w2017","Average"
"1","New England Patriots",10.9,7,9.3,8.9,2.33333333333333,6.2,8.9,5.81111111111111
"2","Minnesota Vikings",-1.7,5.8,0.9,9.1,1.93333333333333,0.6,9.1,3.87777777777778
"3","Pittsburgh Steelers",2.2,8.7,4.7,5,2.9,3.13333333333333,5,3.67777777777778
"4","Philadelphia Eagles",3.9,-4.6,3.8,9.4,-1.53333333333333,2.53333333333333,9.4,3.46666666666667
"5","Kansas City Chiefs",5.7,9,5.6,3.4,3,3.73333333333333,3.4,3.37777777777778
"6","Atlanta Falcons",-3.8,-3.8,8.5,4.3,-1.26666666666667,5.66666666666667,4.3,2.9
"7","New Orleans Saints",-2.9,-6.6,1.5,9.2,-2.2,1,9.2,2.66666666666667
"8","Seattle Seahawks",9.5,11.3,2.1,1.9,3.76666666666667,1.4,1.9,2.35555555555556
"9","Carolina Panthers",-3.1,8.1,-1,4.3,2.7,-0.666666666666667,4.3,2.11111111111111
"10","Dallas Cowboys",5.4,-6.9,7,1.6,-2.3,4.66666666666667,1.6,1.32222222222222
"11","Baltimore Ravens",4.6,-1.9,1.5,3.4,-0.633333333333333,1,3.4,1.25555555555556
"12","Green Bay Packers",8.3,5.3,2.8,-1.9,1.76666666666667,1.86666666666667,-1.9,0.577777777777778
"13","Detroit Lions",2.1,-0.2,-1.4,2.7,-0.0666666666666667,-0.933333333333333,2.7,0.566666666666667
"14","Arizona Cardinals",2,12.3,1.6,-3.7,4.1,1.06666666666667,-3.7,0.488888888888889
"15","Jacksonville Jaguars",-10.5,-7.5,-5,6.5,-2.5,-3.33333333333333,6.5,0.222222222222222
"16","Washington Redskins",-8.7,-1.9,2,-1.3,-0.633333333333333,1.33333333333333,-1.3,-0.2
"17","Cincinnati Bengals",0.7,10.6,1,-5,3.53333333333333,0.666666666666667,-5,-0.266666666666667
"18","Denver Broncos",9.6,5.8,4,-6.7,1.93333333333333,2.66666666666667,-6.7,-0.7
"19","Oakland Raiders",-9,-0.2,3.3,-4.7,-0.0666666666666667,2.2,-4.7,-0.855555555555556
"20","Tampa Bay Buccaneers",-9.8,-7.7,-0.2,-1.3,-2.56666666666667,-0.133333333333333,-1.3,-1.33333333333333
"21","Buffalo Bills",4.9,0,-0.3,-4,0,-0.2,-4,-1.4
"22","Chicago Bears",-6.7,-1.3,-7.5,-1.3,-0.433333333333333,-5,-1.3,-2.24444444444444
"23","New York Giants",-1.7,-3.6,2.1,-7.6,-1.2,1.4,-7.6,-2.46666666666667
"24","Tennessee Titans",-11.8,-10.5,-1,-3.5,-3.5,-0.666666666666667,-3.5,-2.55555555555556
"25","Houston Texans",1.7,-0.8,-2.6,-6.4,-0.266666666666667,-1.73333333333333,-6.4,-2.8
"26","New York Jets",-5,1.5,-8.5,-4.9,0.5,-5.66666666666667,-4.9,-3.35555555555556
"27","Miami Dolphins",2.6,-6.8,-2.4,-6.3,-2.26666666666667,-1.6,-6.3,-3.38888888888889
"28","Indianapolis Colts",4.4,-6.7,0.4,-10.1,-2.23333333333333,0.266666666666667,-10.1,-4.02222222222222
"29","San Francisco 49ers",-1,-5.5,-11.2,-2.9,-1.83333333333333,-7.46666666666667,-2.9,-4.06666666666667
"30","Cleveland Browns",-3.9,-6.1,-10.1,-11,-2.03333333333333,-6.73333333333333,-11,-6.58888888888889
"31","Los Angeles Chargers",NA,NA,NA,3.6,NA,NA,3.6,NA
"32","Los Angeles Rams",NA,NA,NA,9.2,NA,NA,9.2,NA
"33","Rams",-0.8,-0.2,-11.1,NA,-0.0666666666666667,-7.4,NA,NA
"34","San Diego Chargers",1.9,-2.6,0.1,NA,-0.866666666666667,0.0666666666666667,NA,NA
