Week,Day,Date,Visitor,Visitor SRS,Home,Home SRS
WildCard,Sat,5-Jan,Indianapolis Colts,3.4,Houston Texans,3.8
WildCard,Sat,5-Jan,Seattle Seahawks,4.5,Dallas Cowboys,1.1
WildCard,Sun,6-Jan,Los Angeles Chargers,6,Baltimore Ravens,7
WildCard,Sun,6-Jan,Philadelphia Eagles,1.7,Chicago Bears,6.3
Division,Sat,12-Jan,Indianapolis Colts,3.4,Kansas City Chiefs,8.9
Division,Sat,12-Jan,Dallas Cowboys,1.1,Los Angeles Rams,8.5
Division,Sun,13-Jan,Philadelphia Eagles,1.7,New Orleans Saints,10.1
Division,Sun,13-Jan,Los Angeles Chargers,6,New England Patriots ,5.2
Conference,Sun,20-Jan,Los Angeles Rams,8.5,New Orleans Saints,10.1
Conference,Sun,20-Jan,New England Patriots,5.2,Kansas City Chiefs,8.9
Super Bowl,Sun,2/3/19,New England Patriots,5.2,Los Angeles Rams,8.5
