Team ,FiveThirtyEight,Lines,SRS,Power Rating
Arizona Cardinals,-1.4,-4.71,0.49,-1.87
Atlanta Falcons,4.2,1.64,2.90,2.91
Baltimore Ravens,1.6,1.08,1.26,1.31
Buffalo Bills,0,-3.29,-1.40,-1.56
Carolina Panthers,1.3,0.43,2.11,1.28
Chicago Bears,-3,-2.13,-2.24,-2.46
Cincinnati Bengals,-1.1,-2.14,-0.27,-1.17
Cleveland Browns,-9.4,-4.79,-6.59,-6.93
Dallas Cowboys,1.7,0.75,1.32,1.26
Denver Broncos,-2.1,-0.83,-0.70,-1.21
Detroit Lions,0.5,-1.28,0.57,-0.07
Green Bay Packers,-2.1,3.52,0.58,0.67
Houston Texans,-3.8,2.42,-2.80,-1.39
Indianapolis Colts,-3.8,-3.50,-4.02,-3.78
Jacksonville Jaguars,1.7,2.67,0.22,1.53
Kansas City Chiefs,3.3,0.08,3.38,2.25
Los Angeles Chargers,2.2,2.11,2.80,2.37
Los Angeles Rams,0.4,2.88,0.62,1.30
Miami Dolphins,-2.2,-3.27,-3.39,-2.95
Minnesota Vikings,4.1,3.77,3.88,3.92
New England Patriots,7.2,6.06,5.81,6.36
New Orleans Saints,2.7,2.47,2.67,2.61
New York Giants,-4.8,-2.53,-2.47,-3.27
New York Jets,-2.5,-3.58,-3.36,-3.15
Oakland Raiders,-1.6,0.22,-0.86,-0.75
Philadelphia Eagles,6.6,3.48,3.47,4.51
Pittsburgh Steelers,4.2,3.95,3.68,3.94
San Francisco 49ers,-1.6,1.02,-4.07,-1.55
Seattle Seahawks,1.9,-1.11,2.36,1.05
Tampa Bay Buccaneers,-2.6,-2.63,-1.33,-2.19
Tennessee Titans,0.3,0.21,-2.56,-0.68
Washington Redskins,-1.8,-2.80,-0.20,-1.60
