"","posteam","n_pass","n_rush","epa_per_pass","epa_per_rush","success_per_pass","success_per_rush","off_epa","def_n_pass","def_n_rush","def_epa_per_pass","def_epa_per_rush","def_success_per_pass","def_success_per_rush","def_epa","team","url","primary","secondary","pass_ratio","EPA_diff","rush_ratio"
"1","ARI",668,360,0.0451733512268997,0.084620491117157,0.438622754491018,0.408333333333333,0.0589875247293244,704,414,0.261073698582873,-0.115753581979435,0.524147727272727,0.333333333333333,0.121533006138513,"Arizona Cardinals","https://upload.wikimedia.org/wikipedia/en/thumb/7/72/Arizona_Cardinals_logo.svg/179px-Arizona_Cardinals_logo.svg.png","#97233f","#000000",0.649805447470817,-0.0625454814091881,0.350194552529183
"2","ATL",804,343,0.128865639586168,-0.127518827961746,0.478855721393035,0.323615160349854,0.0521961780613778,625,391,0.169568443008546,-0.0645589675085424,0.488,0.40153452685422,0.0794662604178162,"Atlanta Falcons","https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Atlanta_Falcons_logo.svg/192px-Atlanta_Falcons_logo.svg.png","#a71930","#000000",0.700959023539669,-0.0272700823564383,0.299040976460331
"3","BAL",528,543,0.326228887463608,0.114048780802177,0.498106060606061,0.434622467771639,0.218652979044227,642,318,-0.0790973751060848,-0.0350798948727099,0.423676012461059,0.393081761006289,-0.0645165847787793,"Baltimore Ravens","https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Baltimore_Ravens_logo.svg/193px-Baltimore_Ravens_logo.svg.png","#241773","#000000",0.492997198879552,0.283169563823006,0.507002801120448
"4","BUF",619,417,0.0277538611297216,-0.0561922004795447,0.432956381260097,0.37410071942446,-0.00603523895817808,645,368,-0.0883792631003951,0.00375044696128562,0.418604651162791,0.388586956521739,-0.0549106221303077,"Buffalo Bills","https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Buffalo_Bills_logo.svg/189px-Buffalo_Bills_logo.svg.png","#00338d","#c60c30",0.597490347490347,0.0488753831721297,0.402509652509652
"5","CAR",738,361,-0.0547297192429413,-0.0147037101388547,0.437669376693767,0.39612188365651,-0.0415819582906435,662,411,0.0646927287062097,0.108365850269725,0.459214501510574,0.435523114355231,0.0814212030422814,"Carolina Panthers","https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Carolina_Panthers_logo.svg/100px-Carolina_Panthers_logo.svg.png","#0085ca","#000000",0.671519563239309,-0.123003161332925,0.328480436760692
"6","CHI",681,371,0.0070785855325276,-0.18251149146423,0.44640234948605,0.339622641509434,-0.0597825537885724,659,394,0.0388947051708845,-0.111331471956838,0.462822458270106,0.299492385786802,-0.0173152794334105,"Chicago Bears","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Chicago_Bears_logo.svg/100px-Chicago_Bears_logo.svg.png","#0b162a","#c83803",0.647338403041825,-0.0424672743551618,0.352661596958175
"7","CIN",710,366,-0.064618839224194,-0.111240791856182,0.41830985915493,0.355191256830601,-0.0804772357514314,582,454,0.191994229422488,0.0063175129053309,0.458762886597938,0.400881057268722,0.11062624747385,"Cincinnati Bengals","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png","#000000","#fb4f14",0.659851301115242,-0.191103483225281,0.340148698884758
"8","CLE",648,378,0.00894894275211296,-0.0554014852603912,0.432098765432099,0.378306878306878,-0.0147591096735465,612,422,0.108839263862369,0.0211339160644118,0.468954248366013,0.398104265402844,0.0730446248191018,"Cleveland Browns","https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Cleveland_Browns_logo.svg/100px-Cleveland_Browns_logo.svg.png","#fb4f14","#22150c",0.631578947368421,-0.0878037344926483,0.368421052631579
"9","DAL",673,430,0.210302688150001,0.0487603182963436,0.509658246656761,0.418604651162791,0.147326061643136,684,374,0.040177827023484,-0.0598498169853994,0.463450292397661,0.401069518716578,0.00481833849860464,"Dallas Cowboys","https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Dallas_Cowboys.svg/100px-Dallas_Cowboys.svg.png","#002244","#b0b7bc",0.610154125113327,0.142507723144531,0.389845874886673
"10","DEN",604,388,0.0201200533446887,-0.0728580734970526,0.425496688741722,0.34020618556701,-0.0162463914280891,633,407,0.0614894828440775,-0.0701566897458804,0.459715639810427,0.363636363636364,0.0099702595324305,"Denver Broncos","https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Denver_Broncos_logo.svg/100px-Denver_Broncos_logo.svg.png","#002244","#fb4f14",0.608870967741935,-0.0262166509605196,0.391129032258065
