Rank,Team,Point Differential,MoV
1,New England Patriots,123.9,7.74
2,Atlanta Falcons,71.9,4.49
3,Kansas City Chiefs,64.4,4.03
4,Pittsburgh Steelers,78.9,4.93
5,Green Bay Packers,63.1,3.94
6,Seattle Seahawks,62,3.88
7,Dallas Cowboys,36.5,2.28
8,Denver Broncos,21.2,1.33
9,Arizona Cardinals,46.6,2.91
10,Oakland Raiders,0,0
11,New York Giants,13.6,0.85
12,Carolina Panthers,12.5,0.78
13,Cincinnati Bengals,24.1,1.51
14,Indianapolis Colts,31.8,1.99
15,Philadelphia Eagles,2,0.13
16,Miami Dolphins,-17.6,-1.1
17,Tampa Bay Buccaneers,-17.7,-1.11
18,Washington Redskins,-6,-0.38
19,Houston Texans,9.7,0.61
20,Detroit Lions,-6,-0.38
21,Minnesota Vikings,5.8,0.36
22,New Orleans Saints,-12.8,-0.8
23,Baltimore Ravens,6.2,0.39
24,Buffalo Bills,-38.5,-2.41
25,Tennessee Titans,-12.7,-0.79
26,New York Jets,-50.7,-3.17
27,San Diego Chargers,-61.6,-3.85
28,Rams,-71.4,-4.46
29,Chicago Bears,-89.8,-5.61
30,Jacksonville Jaguars,-72.4,-4.53
31,San Francisco 49ers,-101,-6.31
32,Cleveland Browns,-116.2,-7.26
