Team,2014,2015,2016,w2014,w2015,w2016,Average,Rank,Point Differential,MoV,CombinedRating
New England Patriots,10.9,7,9.3,3.633333333,4.666666667,9.3,5.866666667,1,123.9,7.74,6.803333333
Pittsburgh Steelers,2.2,8.7,4.7,0.733333333,5.8,4.7,3.744444444,4,78.9,4.93,4.337222222
Kansas City Chiefs,5.7,9,5.6,1.9,6,5.6,4.5,3,64.4,4.03,4.265
Seattle Seahawks,9.5,11.3,2.1,3.166666667,7.533333333,2.1,4.266666667,6,62,3.88,4.073333333
Green Bay Packers,8.3,5.3,2.8,2.766666667,3.533333333,2.8,3.033333333,5,63.1,3.94,3.486666667
Arizona Cardinals,2,12.3,1.6,0.666666667,8.2,1.6,3.488888889,9,46.6,2.91,3.199444444
Atlanta Falcons,-3.8,-3.8,8.5,-1.266666667,-2.533333333,8.5,1.566666667,2,71.9,4.49,3.028333333
Denver Broncos,9.6,5.8,4,3.2,3.866666667,4,3.688888889,8,21.2,1.33,2.509444444
Cincinnati Bengals,0.7,10.6,1,0.233333333,7.066666667,1,2.766666667,13,24.1,1.51,2.138333333
Dallas Cowboys,5.4,-6.9,7,1.8,-4.6,7,1.4,7,36.5,2.28,1.84
Carolina Panthers,-3.1,8.1,-1,-1.033333333,5.4,-1,1.122222222,12,12.5,0.78,0.951111111
Minnesota Vikings,-1.7,5.8,0.9,-0.566666667,3.866666667,0.9,1.4,21,5.8,0.36,0.88
Indianapolis Colts,4.4,-6.7,0.4,1.466666667,-4.466666667,0.4,-0.866666667,14,31.8,1.99,0.561666667
Baltimore Ravens,4.6,-1.9,1.5,1.533333333,-1.266666667,1.5,0.588888889,23,6.2,0.39,0.489444444
Philadelphia Eagles,3.9,-4.6,3.8,1.3,-3.066666667,3.8,0.677777778,15,2,0.13,0.403888889
New York Giants,-1.7,-3.6,2.1,-0.566666667,-2.4,2.1,-0.288888889,11,13.6,0.85,0.280555556
Oakland Raiders,-9,-0.2,3.3,-3,-0.133333333,3.3,0.055555556,10,0,0,0.027777778
Houston Texans,1.7,-0.8,-2.6,0.566666667,-0.533333333,-2.6,-0.855555556,19,9.7,0.61,-0.122777778
Detroit Lions,2.1,-0.2,-1.4,0.7,-0.133333333,-1.4,-0.277777778,20,-6,-0.38,-0.328888889
Washington Redskins,-8.7,-1.9,2,-2.9,-1.266666667,2,-0.722222222,18,-6,-0.38,-0.551111111
Buffalo Bills,4.9,0,-0.3,1.633333333,0,-0.3,0.444444444,24,-38.5,-2.41,-0.982777778
New Orleans Saints,-2.9,-6.6,1.5,-0.966666667,-4.4,1.5,-1.288888889,22,-12.8,-0.8,-1.044444444
Miami Dolphins,2.6,-6.8,-2.4,0.866666667,-4.533333333,-2.4,-2.022222222,16,-17.6,-1.1,-1.561111111
Tampa Bay Buccaneers,-9.8,-7.7,-0.2,-3.266666667,-5.133333333,-0.2,-2.866666667,17,-17.7,-1.11,-1.988333333
San Diego Chargers,1.9,-2.6,0.1,0.633333333,-1.733333333,0.1,-0.333333333,27,-61.6,-3.85,-2.091666667
Tennessee Titans,-11.8,-10.5,-1,-3.933333333,-7,-1,-3.977777778,25,-12.7,-0.79,-2.383888889
New York Jets,-5,1.5,-8.5,-1.666666667,1,-8.5,-3.055555556,26,-50.7,-3.17,-3.112777778
Rams,-0.8,-0.2,-11.1,-0.266666667,-0.133333333,-11.1,-3.833333333,28,-71.4,-4.46,-4.146666667
Jacksonville Jaguars,-10.5,-7.5,-5,-3.5,-5,-5,-4.5,30,-72.4,-4.53,-4.515
Chicago Bears,-6.7,-1.3,-7.5,-2.233333333,-0.866666667,-7.5,-3.533333333,29,-89.8,-5.61,-4.571666667
San Francisco 49ers,-1,-5.5,-11.2,-0.333333333,-3.666666667,-11.2,-5.066666667,31,-101,-6.31,-5.688333333
Cleveland Browns,-3.9,-6.1,-10.1,-1.3,-4.066666667,-10.1,-5.155555556,32,-116.2,-7.26,-6.207777778
