SB_Predictions,Probabilities,Team,SRS,Playoffs
0.133088716,13.30887161,New England Patriots,8.9,1
8.25E-04,0.082453904,Buffalo Bills,-4,1
3.25E-04,0.032491629,Miami Dolphins,-6.3,0
5.73E-04,0.057276525,New York Jets,-4.9,0
0.030654067,3.065406719,Pittsburgh Steelers,5,1
0.016269899,1.626989896,Baltimore Ravens,3.4,0
5.50E-04,0.055003808,Cincinnati Bengals,-5,0
4.84E-05,0.004841547,Cleveland Browns,-11,0
0.054878663,5.487866294,Jacksonville Jaguars,6.5,1
0.001009485,0.100948463,Tennessee Titans,-3.5,1
3.12E-04,0.031202063,Houston Texans,-6.4,0
6.97E-05,0.006971381,Indianapolis Colts,-10.1,0
0.016269899,1.626989896,Kansas City Chiefs,3.4,1
0.017618807,1.761880656,Los Angeles Chargers,3.6,0
6.21E-04,0.062107382,Oakland Raiders,-4.7,0
2.76E-04,0.027632329,Denver Broncos,-6.7,0
0.158242291,15.82422912,Philadelphia Eagles,9.4,1
0.007913534,0.791353361,Dallas Cowboys,1.6,0
0.002457722,0.245772185,Washington Redskins,-1.3,0
1.92E-04,0.019191555,New York Giants,-7.6,0
0.142717743,14.27177425,Minnesota Vikings,9.1,1
0.012302026,1.230202558,Detroit Lions,2.7,0
0.001928415,0.192841479,Green Bay Packers,-1.9,0
0.002457722,0.245772185,Chicago Bears,-1.3,0
0.147746355,14.7746355,New Orleans Saints,9.2,1
0.023261158,2.326115839,Carolina Panthers,4.3,1
0.023261158,2.326115839,Atlanta Falcons,4.3,1
0.002457722,0.245772185,Tampa Bay Buccaneers,-1.3,0
0.147746355,14.7746355,Los Angeles Rams,9.2,1
0.008927048,0.892704816,Seattle Seahawks,1.9,0
9.31E-04,0.093099271,Arizona Cardinals,-3.7,0
0.001286891,0.128689097,San Francisco 49ers,-2.9,0
