team,vegas_win_total,implied_win_perc
Arizona Cardinals,3.5,0.205882353
Atlanta Falcons,9.5,0.558823529
Baltimore Ravens,10.5,0.617647059
Buffalo Bills,10.5,0.617647059
Carolina Panthers,6.5,0.382352941
Chicago Bears,6.5,0.382352941
Cincinnati Bengals,10.5,0.617647059
Cleveland Browns,9.5,0.558823529
Dallas Cowboys,10.5,0.617647059
Denver Broncos,7.5,0.441176471
Detroit Lions,10.5,0.617647059
Green Bay Packers,8.5,0.5
Houston Texans,5.5,0.323529412
Indianapolis Colts,6.5,0.382352941
Jacksonville Jaguars,9.5,0.558823529
Kansas City Chiefs,10.5,0.617647059
Los Angeles Chargers,9.5,0.558823529
Los Angeles Rams,6.5,0.382352941
Las Vegas Raiders,6.5,0.382352941
Miami Dolphins,10.5,0.617647059
Minnesota Vikings,7.5,0.441176471
New England Patriots,6.5,0.382352941
New Orleans Saints,10.5,0.617647059
New York Giants,6.5,0.382352941
New York Jets,8.5,0.5
Philadelphia Eagles,11.5,0.676470588
Pittsburgh Steelers,8.5,0.5
San Francisco 49ers,12.5,0.735294118
Seattle Seahawks,7.5,0.441176471
Tampa Bay Buccaneers,7.5,0.441176471
Tennessee Titans,7.5,0.441176471
Washington Commanders,6.5,0.382352941
