Team,Point Spread Rating Points,Point Spread Rating QB,Strength of Schedule To Date,Strength of Schedule Remaining,Projections Avg. Wins,Projections Make Playoffs,Projections Win Division Title,Projections Win Conf Champ,Projections Win Super Bowl
BUF,6.4,7,null,9,11.1256,78,58,22,12
KC,5.7,7.5,null,2,10.286,68,40,16,9
TB,5.7,7.5,null,25,11.3305,85,73,23,13
LA,5,6,null,4,10.095,68,37,14,7
GB,4.9,7.5,null,21,10.6524,77,61,17,9
SF,3.6,2.5,null,27,10.0109,65,34,10,5
DAL,2.6,6,null,22,9.3393,55,31,7,4
CIN,2.5,6.5,null,5,9.8388,61,38,10,5
IND,2,5.5,null,28,9.7918,64,50,9,4
TEN,1.8,5.5,null,11,8.9781,52,36,7,3
LAC,1.6,6.5,null,10,9.24,51,23,7,3
NE,1.4,3,null,1,9.0368,48,23,6,3
PHI,1.4,2.5,null,29,9.4818,57,32,6,3
ARZ,1.1,5.5,null,7,9.343,56,26,7,3
DEN,1,6.5,null,17,8.9166,45,19,5,2
CLV,1,1,null,18,9.1162,49,28,6,3
BLT,0.9,6.5,null,20,8.3838,38,19,3,1
MIA,0.7,2.5,null,12,8.2529,35,15,3,1
NO,0.7,3,null,25,8.1884,39,18,4,1
LV,0.5,5.5,null,3,8.5,40,18,4,2
PIT,0.1,2,null,5,7.899,32,15,2,1
MIN,0.1,5.5,null,23,8.512,45,24,4,2
WAS,-0.5,1.5,null,30,8.5872,43,20,3,2
NYG,-1.9,1.5,null,32,8.4343,40,18,3,1
NYJ,-4.3,2,null,12,6.4281,14,5,1,0
DET,-4.7,1.5,null,31,7.2604,26,12,1,0
JAX,-5.9,2.5,null,19,6.4216,17,9,0,0
SEA,-6.3,1,null,8,5.8292,11,3,0,0
CHI,-6.4,2.5,null,24,5.4766,9,4,0,0
HST,-6.7,1,null,14,5.4838,9,5,0,0
ATL,-6.7,1.5,null,16,5.9313,13,5,0,0
CAR,-7.1,2.5,null,15,5.8286,12,5,0,0
