Tm,Super Bowl Odds,W/L O-U
Arizona Cardinals,3500,8.5
Atlanta Falcons,23000,4.5
Baltimore Ravens,1880,10.5
Buffalo Bills,600,11.5
Carolina Panthers,12100,6.5
Chicago Bears,14400,6.5
Cincinnati Bengals,2080,9.5
Cleveland Browns,3700,8.5
Dallas Cowboys,1960,10.5
Denver Broncos,1680,10.5
Detroit Lions,12000,6.5
Green Bay Packers,1120,10.5
Houston Texans,29000,4.5
Indianapolis Colts,2240,9.5
Jacksonville Jaguars,13000,6.5
Kansas City Chiefs,1020,10.5
Las Vegas Raiders,3600,10.5
Los Angeles Chargers,1380,10.5
Los Angeles Rams,1120,8.5
Miami Dolphins,3900,8.5
Minnesota Vikings,3600,9.5
New England Patriots,4200,8.5
New Orleans Saints,3800,8.5
New York Giants,11800,7.5
New York Jets,13600,5.5
Philadelphia Eagles,2440,9.5
Pittsburgh Steelers,8000,7.5
San Francisco 49ers,1600,9.5
Seattle Seahawks,17000,5.5
Tampa Bay Buccaneers,780,11.5
Tennessee Titans,3800,9.5
Washington Commanders,7600,7.5
